Theta[deg.],Gain(S)_y20_0,Gain(M)_y20_0,Gain(S)_y40_0,Gain(M)_y40_0,Gain(S)_y80_0,Gain(M)_y80_0,Gain(S)_x20_0,Gain(M)_x20_0,Gain(S)_x40_0,Gain(S)_x40_0,Gain(S)_x80_0,Gain(M)_x80_0
74,0.6193,0.49544,0.5387,0.43096,0.4358,0.361714,0.464475,0.35845084,0.4029476,0.317574424,0.45759,0.36894828
75,0.6201,0.49608,0.5274,0.42192,0.4185,0.347355,0.465075,0.35891388,0.3944952,0.310912848,0.439425,0.3543021
76,0.622,0.4976,0.5174,0.41392,0.4027,0.334241,0.4665,0.3600136,0.3870152,0.305017648,0.422835,0.34092582
77,0.625,0.5,0.5088,0.40704,0.3884,0.322372,0.46875,0.36175,0.3805824,0.299947776,0.40782,0.32881944
78,0.6291,0.50328,0.5016,0.40128,0.3756,0.311748,0.471825,0.36412308,0.3751968,0.295703232,0.39438,0.31798296
79,0.6344,0.50752,0.4958,0.39664,0.3644,0.302452,0.4758,0.36719072,0.3708584,0.292284016,0.38262,0.30850104
80,0.6408,0.51264,0.4915,0.3932,0.3548,0.294484,0.4806,0.37089504,0.367642,0.28974908,0.37254,0.30037368
81,0.6484,0.51872,0.4886,0.39088,0.3468,0.287844,0.4863,0.37529392,0.3654728,0.288039472,0.36414,0.29360088
82,0.6571,0.52568,0.4872,0.38976,0.3404,0.282532,0.492825,0.38032948,0.3644256,0.287214144,0.35742,0.28818264
83,0.6671,0.53368,0.4873,0.38984,0.3357,0.278631,0.500325,0.38611748,0.3645004,0.287273096,0.352485,0.28420362
84,0.6782,0.54256,0.4889,0.39112,0.3326,0.276058,0.50865,0.39254216,0.3656972,0.288216328,0.34923,0.28157916
85,0.6904,0.55232,0.4919,0.39352,0.3312,0.274896,0.5178,0.39960352,0.3679412,0.289984888,0.34776,0.28039392
86,0.7039,0.56312,0.4965,0.3972,0.3315,0.275145,0.527925,0.40741732,0.371382,0.29269668,0.348075,0.2806479
87,0.7185,0.5748,0.5026,0.40208,0.3334,0.276722,0.538875,0.4158678,0.3759448,0.296292752,0.35007,0.28225644
88,0.7343,0.58744,0.5102,0.40816,0.337,0.27971,0.550725,0.42501284,0.3816296,0.300773104,0.35385,0.2853042
89,0.7513,0.60104,0.5193,0.41544,0.3423,0.284109,0.563475,0.43485244,0.3884364,0.306137736,0.359415,0.28979118
90,0.7694,0.61552,0.53,0.424,0.3493,0.289919,0.57705,0.44532872,0.39644,0.3124456,0.366765,0.29571738
91,0.7887,0.63096,0.5421,0.43368,0.358,0.29714,0.591525,0.45649956,0.4054908,0.319578792,0.3759,0.3030828
92,0.8091,0.64728,0.5557,0.44456,0.3683,0.305689,0.606825,0.46830708,0.4156636,0.327596264,0.386715,0.31180278
93,0.8307,0.66456,0.5709,0.45672,0.3804,0.315732,0.623025,0.48080916,0.4270332,0.336556968,0.39942,0.32204664
94,0.8534,0.68272,0.5875,0.47,0.394,0.32702,0.64005,0.49394792,0.43945,0.346343,0.4137,0.3335604
95,0.8772,0.70176,0.6055,0.4844,0.4094,0.339802,0.6579,0.50772336,0.452914,0.35695436,0.42987,0.34659804
96,0.902,0.7216,0.6251,0.50008,0.4263,0.353829,0.6765,0.5220776,0.4675748,0.368508952,0.447615,0.36090558
97,0.928,0.7424,0.646,0.5168,0.4449,0.369267,0.696,0.5371264,0.483208,0.38082992,0.467145,0.37665234
98,0.955,0.764,0.6684,0.53472,0.4651,0.386033,0.71625,0.552754,0.4999632,0.394035168,0.488355,0.39375366
99,0.983,0.7864,0.6921,0.55368,0.4868,0.404044,0.73725,0.5689604,0.5176908,0.408006792,0.51114,0.41212488
100,1.012,0.8096,0.7173,0.57384,0.5101,0.423383,0.759,0.5857456,0.5365404,0.422862696,0.535605,0.43185066
101,1.042,0.8336,0.7437,0.59496,0.5349,0.443967,0.7815,0.6031096,0.5562876,0.438426024,0.561645,0.45284634
102,1.073,0.8584,0.7715,0.6172,0.5612,0.465796,0.80475,0.6210524,0.577082,0.45481468,0.58926,0.47511192
103,1.105,0.884,0.8006,0.64048,0.589,0.48887,0.82875,0.639574,0.5988488,0.471969712,0.61845,0.4986474
104,1.138,0.9104,0.8309,0.66472,0.6182,0.513106,0.8535,0.6586744,0.6215132,0.489832168,0.64911,0.52336812
105,1.172,0.9376,0.8625,0.69,0.6488,0.538504,0.879,0.6783536,0.64515,0.508461,0.68124,0.54927408
106,1.206,0.9648,0.8952,0.71616,0.6807,0.564981,0.9045,0.6980328,0.6696096,0.527738304,0.714735,0.57628062
107,1.242,0.9936,0.9291,0.74328,0.714,0.59262,0.9315,0.7188696,0.6949668,0.547723032,0.7497,0.6044724
108,1.278,1.0224,0.9641,0.77128,0.7486,0.621338,0.9585,0.7397064,0.7211468,0.568356232,0.78603,0.63376476
109,1.315,1.052,1,0.8,0.7844,0.651052,0.98625,0.761122,0.748,0.58952,0.82362,0.66407304
110,1.352,1.0816,1.037,0.8296,0.8214,0.681762,1.014,0.7825376,0.775676,0.61133224,0.86247,0.69539724
111,1.391,1.1128,1.075,0.86,0.8596,0.713468,1.04325,0.8051108,0.8041,0.633734,0.90258,0.72773736
112,1.43,1.144,1.115,0.892,0.8988,0.746004,1.0725,0.827684,0.83402,0.6573148,0.94374,0.76092408
113,1.469,1.1752,1.154,0.9232,0.9392,0.779536,1.10175,0.8502572,0.863192,0.68030608,0.98616,0.79512672
114,1.51,1.208,1.195,0.956,0.9805,0.813815,1.1325,0.873988,0.89386,0.7044764,1.029525,0.8300913
115,1.55,1.24,1.237,0.9896,1.023,0.84909,1.1625,0.89714,0.925276,0.72923624,1.07415,0.8660718
116,1.592,1.2736,1.279,1.0232,1.066,0.88478,1.194,0.9214496,0.956692,0.75399608,1.1193,0.9024756
117,1.633,1.3064,1.323,1.0584,1.11,0.9213,1.22475,0.9451804,0.989604,0.77993496,1.1655,0.939726
118,1.676,1.3408,1.366,1.0928,1.155,0.95865,1.257,0.9700688,1.021768,0.80528432,1.21275,0.977823
119,1.718,1.3744,1.411,1.1288,1.201,0.99683,1.2885,0.9943784,1.055428,0.83181272,1.26105,1.0167666
120,1.761,1.4088,1.456,1.1648,1.247,1.03501,1.32075,1.0192668,1.089088,0.85834112,1.30935,1.0557102
121,1.804,1.4432,1.502,1.2016,1.294,1.07402,1.353,1.0441552,1.123496,0.88545904,1.3587,1.0955004
122,1.848,1.4784,1.548,1.2384,1.341,1.11303,1.386,1.0696224,1.157904,0.91257696,1.40805,1.1352906
123,1.891,1.5128,1.594,1.2752,1.389,1.15287,1.41825,1.0945108,1.192312,0.93969488,1.45845,1.1759274
124,1.935,1.548,1.641,1.3128,1.438,1.19354,1.45125,1.119978,1.227468,0.96740232,1.5099,1.2174108
125,1.979,1.5832,1.688,1.3504,1.487,1.23421,1.48425,1.1454452,1.262624,0.99510976,1.56135,1.2588942
126,2.023,1.6184,1.735,1.388,1.536,1.27488,1.51725,1.1709124,1.29778,1.0228172,1.6128,1.3003776
127,2.067,1.6536,1.783,1.4264,1.586,1.31638,1.55025,1.1963796,1.333684,1.05111416,1.6653,1.3427076
128,2.112,1.6896,1.831,1.4648,1.636,1.35788,1.584,1.2224256,1.369588,1.07941112,1.7178,1.3850376
129,2.156,1.7248,1.879,1.5032,1.686,1.39938,1.617,1.2478928,1.405492,1.10770808,1.7703,1.4273676
130,2.2,1.76,1.927,1.5416,1.736,1.44088,1.65,1.27336,1.441396,1.13600504,1.8228,1.4696976
131,2.244,1.7952,1.975,1.58,1.786,1.48238,1.683,1.2988272,1.4773,1.164302,1.8753,1.5120276
132,2.288,1.8304,2.023,1.6184,1.836,1.52388,1.716,1.3242944,1.513204,1.19259896,1.9278,1.5543576
133,2.331,1.8648,2.07,1.656,1.887,1.56621,1.74825,1.3491828,1.54836,1.2203064,1.98135,1.5975342
134,2.375,1.9,2.118,1.6944,1.937,1.60771,1.78125,1.37465,1.584264,1.24860336,2.03385,1.6398642
135,2.418,1.9344,2.166,1.7328,1.987,1.64921,1.8135,1.3995384,1.620168,1.27690032,2.08635,1.6821942
136,2.461,1.9688,2.213,1.7704,2.036,1.68988,1.84575,1.4244268,1.655324,1.30460776,2.1378,1.7236776
137,2.503,2.0024,2.26,1.808,2.086,1.73138,1.87725,1.4487364,1.69048,1.3323152,2.1903,1.7660076
138,2.545,2.036,2.306,1.8448,2.135,1.77205,1.90875,1.473046,1.724888,1.35943312,2.24175,1.807491
139,2.587,2.0696,2.352,1.8816,2.183,1.81189,1.94025,1.4973556,1.759296,1.38655104,2.29215,1.8481278
140,2.628,2.1024,2.398,1.9184,2.232,1.85256,1.971,1.5210864,1.793704,1.41366896,2.3436,1.8896112
141,2.669,2.1352,2.443,1.9544,2.28,1.8924,2.00175,1.5448172,1.827364,1.44019736,2.394,1.930248
142,2.709,2.1672,2.488,1.9904,2.327,1.93141,2.03175,1.5679692,1.861024,1.46672576,2.44335,1.9700382
143,2.748,2.1984,2.532,2.0256,2.374,1.97042,2.061,1.5905424,1.893936,1.49266464,2.4927,2.0098284
144,2.787,2.2296,2.576,2.0608,2.42,2.0086,2.09025,1.6131156,1.926848,1.51860352,2.541,2.048772
145,2.826,2.2608,2.619,2.0952,2.465,2.04595,2.1195,1.6356888,1.959012,1.54395288,2.58825,2.086869
146,2.863,2.2904,2.661,2.1288,2.51,2.0833,2.14725,1.6571044,1.990428,1.56871272,2.6355,2.124966
147,2.9,2.32,2.702,2.1616,2.554,2.11982,2.175,1.67852,2.021096,1.59288304,2.6817,2.1622164
148,2.936,2.3488,2.743,2.1944,2.597,2.15551,2.202,1.6993568,2.051764,1.61705336,2.72685,2.1986202
149,2.972,2.3776,2.783,2.2264,2.639,2.19037,2.229,1.7201936,2.081684,1.64063416,2.77095,2.2341774
150,3.006,2.4048,2.821,2.2568,2.68,2.2244,2.2545,1.7398728,2.110108,1.66303592,2.814,2.268888
151,3.04,2.432,2.859,2.2872,2.72,2.2576,2.28,1.759552,2.138532,1.68543768,2.856,2.302752
152,3.073,2.4584,2.896,2.3168,2.76,2.2908,2.30475,1.7786524,2.166208,1.70724992,2.898,2.336616
153,3.105,2.484,2.932,2.3456,2.798,2.32234,2.32875,1.797174,2.193136,1.72847264,2.9379,2.3687868
154,3.136,2.5088,2.968,2.3744,2.835,2.35305,2.352,1.8151168,2.220064,1.74969536,2.97675,2.400111
155,3.166,2.5328,3.002,2.4016,2.872,2.38376,2.3745,1.8324808,2.245496,1.76973904,3.0156,2.4314352
156,3.195,2.556,3.034,2.4272,2.907,2.41281,2.39625,1.849266,2.269432,1.78860368,3.05235,2.4610662
157,3.224,2.5792,3.066,2.4528,2.941,2.44103,2.418,1.8660512,2.293368,1.80746832,3.08805,2.4898506
158,3.251,2.6008,3.097,2.4776,2.973,2.46759,2.43825,1.8816788,2.316556,1.82574344,3.12165,2.5169418
159,3.277,2.6216,3.126,2.5008,3.005,2.49415,2.45775,1.8967276,2.338248,1.84283952,3.15525,2.544033
160,3.302,2.6416,3.155,2.524,3.035,2.51905,2.4765,1.9111976,2.35994,1.8599356,3.18675,2.569431
161,3.326,2.6608,3.182,2.5456,3.064,2.54312,2.4945,1.9250888,2.380136,1.87585264,3.2172,2.5939824
162,3.349,2.6792,3.208,2.5664,3.091,2.56553,2.51175,1.9384012,2.399584,1.89118016,3.24555,2.6168406
163,3.37,2.696,3.232,2.5856,3.118,2.58794,2.5275,1.950556,2.417536,1.90532864,3.2739,2.6396988
164,3.391,2.7128,3.256,2.6048,3.142,2.60786,2.54325,1.9627108,2.435488,1.91947712,3.2991,2.6600172
165,3.41,2.728,3.278,2.6224,3.166,2.62778,2.5575,1.973708,2.451944,1.93244656,3.3243,2.6803356
166,3.429,2.7432,3.298,2.6384,3.188,2.64604,2.57175,1.9847052,2.466904,1.94423696,3.3474,2.6989608
167,3.446,2.7568,3.318,2.6544,3.209,2.66347,2.5845,1.9945448,2.481864,1.95602736,3.36945,2.7167394
168,3.462,2.7696,3.336,2.6688,3.228,2.67924,2.5965,2.0038056,2.495328,1.96663872,3.3894,2.7328248
169,3.476,2.7808,3.352,2.6816,3.246,2.69418,2.607,2.0119088,2.507296,1.97607104,3.4083,2.7480636
170,3.49,2.792,3.367,2.6936,3.262,2.70746,2.6175,2.020012,2.518516,1.98491384,3.4251,2.7616092
171,3.502,2.8016,3.381,2.7048,3.277,2.71991,2.6265,2.0269576,2.528988,1.99316712,3.44085,2.7743082
172,3.513,2.8104,3.394,2.7152,3.29,2.7307,2.63475,2.0333244,2.538712,2.00083088,3.4545,2.785314
173,3.522,2.8176,3.405,2.724,3.302,2.74066,2.6415,2.0385336,2.54694,2.0073156,3.4671,2.7954732
174,3.531,2.8248,3.414,2.7312,3.312,2.74896,2.64825,2.0437428,2.553672,2.01262128,3.4776,2.8039392
175,3.538,2.8304,3.422,2.7376,3.32,2.7556,2.6535,2.0477944,2.559656,2.01733744,3.486,2.810712
176,3.544,2.8352,3.429,2.7432,3.328,2.76224,2.658,2.0512672,2.564892,2.02146408,3.4944,2.8174848
177,3.548,2.8384,3.434,2.7472,3.333,2.76639,2.661,2.0535824,2.568632,2.02441168,3.49965,2.8217178
178,3.552,2.8416,3.437,2.7496,3.337,2.76971,2.664,2.0558976,2.570876,2.02618024,3.50385,2.8251042
179,3.554,2.8432,3.44,2.752,3.339,2.77137,2.6655,2.0570552,2.57312,2.0279488,3.50595,2.8267974
180,3.554,2.8432,3.44,2.752,3.34,2.7722,2.6655,2.0570552,2.57312,2.0279488,3.507,2.827644
179,3.554,2.8432,3.44,2.752,3.34,2.7722,2.6655,2.0570552,2.57312,2.0279488,3.507,2.827644
178,3.552,2.8416,3.437,2.7496,3.337,2.76971,2.664,2.0558976,2.570876,2.02618024,3.50385,2.8251042
177,3.549,2.8392,3.434,2.7472,3.333,2.76639,2.66175,2.0541612,2.568632,2.02441168,3.49965,2.8217178
176,3.544,2.8352,3.429,2.7432,3.328,2.76224,2.658,2.0512672,2.564892,2.02146408,3.4944,2.8174848
175,3.539,2.8312,3.422,2.7376,3.321,2.75643,2.65425,2.0483732,2.559656,2.01733744,3.48705,2.8115586
174,3.532,2.8256,3.414,2.7312,3.313,2.74979,2.649,2.0443216,2.553672,2.01262128,3.47865,2.8047858
173,3.523,2.8184,3.405,2.724,3.303,2.74149,2.64225,2.0391124,2.54694,2.0073156,3.46815,2.7963198
172,3.514,2.8112,3.394,2.7152,3.291,2.73153,2.6355,2.0339032,2.538712,2.00083088,3.45555,2.7861606
171,3.503,2.8024,3.381,2.7048,3.278,2.72074,2.62725,2.0275364,2.528988,1.99316712,3.4419,2.7751548
170,3.491,2.7928,3.367,2.6936,3.263,2.70829,2.61825,2.0205908,2.518516,1.98491384,3.42615,2.7624558
169,3.478,2.7824,3.352,2.6816,3.247,2.69501,2.6085,2.0130664,2.507296,1.97607104,3.40935,2.7489102
168,3.463,2.7704,3.336,2.6688,3.23,2.6809,2.59725,2.0043844,2.495328,1.96663872,3.3915,2.734518
167,3.447,2.7576,3.318,2.6544,3.211,2.66513,2.58525,1.9951236,2.481864,1.95602736,3.37155,2.7184326
166,3.43,2.744,3.298,2.6384,3.19,2.6477,2.5725,1.985284,2.466904,1.94423696,3.3495,2.700654
165,3.412,2.7296,3.278,2.6224,3.168,2.62944,2.559,1.9748656,2.451944,1.93244656,3.3264,2.6820288
164,3.393,2.7144,3.256,2.6048,3.145,2.61035,2.54475,1.9638684,2.435488,1.91947712,3.30225,2.662557
163,3.373,2.6984,3.232,2.5856,3.12,2.5896,2.52975,1.9522924,2.417536,1.90532864,3.276,2.641392
162,3.351,2.6808,3.208,2.5664,3.094,2.56802,2.51325,1.9395588,2.399584,1.89118016,3.2487,2.6193804
161,3.328,2.6624,3.182,2.5456,3.067,2.54561,2.496,1.9262464,2.380136,1.87585264,3.22035,2.5965222
160,3.304,2.6432,3.155,2.524,3.038,2.52154,2.478,1.9123552,2.35994,1.8599356,3.1899,2.5719708
159,3.279,2.6232,3.127,2.5016,3.008,2.49664,2.45925,1.8978852,2.338996,1.84342904,3.1584,2.5465728
158,3.253,2.6024,3.097,2.4776,2.977,2.47091,2.43975,1.8828364,2.316556,1.82574344,3.12585,2.5203282
157,3.226,2.5808,3.066,2.4528,2.944,2.44352,2.4195,1.8672088,2.293368,1.80746832,3.0912,2.4923904
156,3.198,2.5584,3.035,2.428,2.91,2.4153,2.3985,1.8510024,2.27018,1.7891932,3.0555,2.463606
155,3.169,2.5352,3.002,2.4016,2.876,2.38708,2.37675,1.8342172,2.245496,1.76973904,3.0198,2.4348216
154,3.139,2.5112,2.968,2.3744,2.84,2.3572,2.35425,1.8168532,2.220064,1.74969536,2.982,2.404344
153,3.108,2.4864,2.933,2.3464,2.803,2.32649,2.331,1.7989104,2.193884,1.72906216,2.94315,2.3730198
152,3.077,2.4616,2.897,2.3176,2.764,2.29412,2.30775,1.7809676,2.166956,1.70783944,2.9022,2.3400024
151,3.044,2.4352,2.86,2.288,2.725,2.26175,2.283,1.7618672,2.13928,1.6860272,2.86125,2.306985
150,3.01,2.408,2.822,2.2576,2.685,2.22855,2.2575,1.742188,2.110856,1.66362544,2.81925,2.273121
149,2.976,2.3808,2.783,2.2264,2.644,2.19452,2.232,1.7225088,2.081684,1.64063416,2.7762,2.2384104
148,2.94,2.352,2.743,2.1944,2.602,2.15966,2.205,1.701672,2.051764,1.61705336,2.7321,2.2028532
147,2.904,2.3232,2.703,2.1624,2.559,2.12397,2.178,1.6808352,2.021844,1.59347256,2.68695,2.1664494
146,2.867,2.2936,2.661,2.1288,2.516,2.08828,2.15025,1.6594196,1.990428,1.56871272,2.6418,2.1300456
145,2.83,2.264,2.619,2.0952,2.471,2.05093,2.1225,1.638004,1.959012,1.54395288,2.59455,2.0919486
144,2.792,2.2336,2.577,2.0616,2.426,2.01358,2.094,1.6160096,1.927596,1.51919304,2.5473,2.0538516
143,2.753,2.2024,2.533,2.0264,2.38,1.9754,2.06475,1.5934364,1.894684,1.49325416,2.499,2.014908
142,2.713,2.1704,2.489,1.9912,2.334,1.93722,2.03475,1.5702844,1.861772,1.46731528,2.4507,1.9759644
141,2.673,2.1384,2.444,1.9552,2.287,1.89821,2.00475,1.5471324,1.828112,1.44078688,2.40135,1.9361742
140,2.633,2.1064,2.399,1.9192,2.239,1.85837,1.97475,1.5239804,1.794452,1.41425848,2.35095,1.8955374
